Man,31/08,13-15,L,H1,Course introduction,CWA
Ons,02/09,13-16,L,D2,Present value mathematics I,CWA
Fre,04/09,10-12,L,B2,Present value mathematics II,CWA
Fre,04/09,13-16,E,K53 L21 L22,Exercise 1,LB AH RG CWA
Man,07/09,10-12,L,H1,Investment decision making I,CWA
Man,07/09,13-16,E,L21 L22 Q22,Exercise 2,LB AH RG CWA
Tor,10/09,10-12,L,H1,Investment decision making II,CWA
Tor,10/09,13-16,E,E35 L21 L22,Exercise 3,LB AH RG CWA
Man,14/09,10-12,L,B2,Investment decision making III – calculations in real terms,CWA
Man,14/09,13-16,E,L22 L42 L43,Exercise 4,LB AH RG CWA
Tis,15/09,10-12,L,V1,Reserve time,
Fre,18/09,10-12,L,B2,Theory of interest,HL
Fre,18/09,13-16,E,B21 B24 L43,Exercise 5,LB AH RG CWA
Man,21/09,09-12,L,B2,Excel introduction for Investment analysis,RG
Tis,22/09,10-12,L,B2,Loans and taxes,CWA
Tis,22/09,13-16,E,Faggot MacLean,Computer exercises with Excel,LB AH RG CWA
Fre,25/09,10-12,L,L1,Course work introduction - compulsory,RG CWA
Tis,29/09,10-12,L,M2,Debts and equity-financing real estate investments I,CWA
Tis,29/09,13-16,E,Faggot MacLean,Course project,LB AH RG CWA
Tor,01/10,10-12,L,B2,Real estate investments in practice,HSS
Tor,01/10,13-16,E,Baltzar Christopher,Course project,LB AH RG CWA
Man,05/10,10-12,L,H1,Debts and equity-financing real estate investments II,CWA
Man,05/10,13-16,E,Faggot MacLean,Course project,LB AH RG CWA
Tor,08/10,10-12,L,B2,Reserve time,NN
Tor,08/10,13-16,E,Faggot MacLean,Course project,LB AH RG CWA
Man,12/10,13-16,E,L21 L22 L42,"Presentation of course projects.
Contact RG to get an individual time for presentation.",LB AH RG
Tor,15/10,10-12,L,B2,Preparations for the exam.,CWA
Tor,15/10,13-16,E,L21 L22 Q11,Presentation of course projects.,LB AH RG
Man,26/10,14-18,EX,Q17 Q21 V01 V11,Exam,
